Date,AMZN,SP500,TSLA
2012-09-26,-1.111582387,-0.575626724,-0.435084663
2012-09-27,2.733641309,0.959971393,3.391064151
2012-09-28,-0.888913424,-0.449082161,2.734852688
2012-10-01,-0.91276084,0.264498377,-0.410979565
2012-10-02,-0.561369672,0.086889319,2.170747267
2012-10-03,2.100435567,0.361539138,-1.692334324
2012-10-04,1.76200677,0.714608188,0.34044186
2012-10-05,-0.75557444,-0.032410636,-1.750162562
2012-10-08,0.212280503,-0.346518972,1.238159345
2012-10-09,-3.176856136,-0.994264829,-3.054979061
2012-10-10,-2.407891771,-0.620999468,0.105415662
2012-10-11,-0.315096499,0.019235658,-0.282389004
2012-10-12,#VALUE!,#VALUE!,#VALUE!
2012-10-15,0.747866164,0.804273098,-1.128173869
2012-10-16,-0.098606769,1.021481605,2.635733501
2012-10-17,1.444515602,0.410586624,2.672177617
2012-10-18,-1.07274084,-0.244973333,-2.74405421
2012-10-19,-2.000989301,-1.671315871,-1.075966098
2012-10-22,-2.626089119,0.043702001,0.395508573
2012-10-23,0.226150479,-1.455224872,1.920099041
2012-10-24,-2.515528853,-0.309289196,-3.476703608
2012-10-25,-2.468225358,0.298832543,0.36375992
2012-10-26,6.646289647,-0.073198779,-0.510293293
2012-10-31,-2.271536883,0.015285401,2.702078894
2012-11-01,-0.322861486,1.086419916,3.903993748
2012-11-02,0.120242386,-0.942673219,-1.134919009
2012-11-05,0.818102796,0.215818396,8.545086087
2012-11-06,1.368599229,0.781867359,-1.117713621
2012-11-07,#VALUE!,#VALUE!,#VALUE!
2012-11-08,-2.050825734,-1.228294663,-0.73220599
2012-11-09,-0.458744046,0.169478566,-3.213244032
2012-11-12,0.070429253,0.012801311,2.443269688
2012-11-13,0.057087114,-0.399639717,1.722778912
2012-11-14,-1.624159718,-1.395161013,-0.730551865
2012-11-15,-1.059912333,-0.159755555,-1.800965714
2012-11-16,2.076821081,0.482553514,3.255679136
2012-11-19,1.969312396,1.966491115,3.335454908
2012-11-20,#VALUE!,#VALUE!,#VALUE!
2012-11-21,1.801320035,0.231447946,-1.619398905
2012-11-23,0.773936747,1.293946226,-1.052915271
2012-11-26,1.546860282,-0.20338358,0.434564116
2012-11-27,-0.090510168,-0.524193777,-0.372719922
2012-11-28,1.512496401,0.78228655,3.303816593
2012-11-29,1.669229667,0.425836146,1.374578327
2012-11-30,0.309667859,0.015975493,0.384854633
2012-12-03,#VALUE!,#VALUE!,#VALUE!
2012-12-04,0.858886863,-0.171401544,-2.101927509
2012-12-05,0.580239837,0.15808676,-0.562322487
2012-12-06,-0.232869034,0.329839606,0.561774541
2012-12-07,-0.039746182,0.291392236,0.793031201
2012-12-10,-2.195768227,0.033603782,1.163572205
2012-12-11,1.171401962,0.652533954,2.032778542
2012-12-12,0.425636914,0.044539915,-0.056979389
2012-12-13,-0.203051325,-0.63442295,-4.792827496
2012-12-14,-0.823553338,-0.414671532,0.593023526
2012-12-17,1.856453245,1.17979481,1.729720793
2012-12-18,2.543348364,1.141872012,0.550559282
2012-12-19,-0.930056733,-0.762061099,0.057556894
2012-12-20,1.3511306,0.547091235,-0.521657208
2012-12-21,-1.767139832,-0.942486227,-1.256967054
2012-12-24,0.659333671,-0.244492264,0.819992528
2012-12-26,-3.939501173,-0.480005259,-2.0334786
2012-12-27,-0.128928004,-0.122055445,0.297128393
2012-12-28,-1.268699523,-1.11130896,-1.405059707
2012-12-31,2.294088076,1.679865692,1.937619278
2013-01-02,2.534507532,2.508447245,4.30499271
2013-01-03,0.453514434,-0.208943938,-1.682793559
2013-01-04,0.258701357,0.485165643,-1.070002548
2013-01-07,#VALUE!,#VALUE!,#VALUE!
